Skykomish
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
1.55038759689923e-002
