Weekday,Carnation,Normandy Park,Sammamish,Covington,Kent,Issaquah,Renton,Bothell,Kirkland,Federal Way,Shoreline,SeaTac,Beaux Arts Village,Medina,Algona,Black Diamond,Newcastle,Snoqualmie,Yarrow Point,Milton,Duvall,Enumclaw,North Bend,Burien,Tukwila,Lake Forest Park,Clyde Hill,Mercer Island,Bellevue,Woodinville,Redmond,Hunts Point,Maple Valley,Kenmore,Pacific,Auburn,Skykomish,Des Moines,Seattle
Monday,0.1,0.0961538461538,0.157524613221,0.143258426966,0.145903061857,0.155588020453,0.135833755702,0.140043763676,0.148698884758,0.133823787003,0.145956607495,0.135445790618,0.0,0.102564102564,0.173184357542,0.134146341463,0.131313131313,0.146198830409,0.285714285714,0.121428571429,0.0921052631579,0.139285714286,0.10152284264,0.14715536105,0.122798779056,0.160112359551,0.0952380952381,0.112860892388,0.13122923588,0.122102009274,0.160827353314,0.102564102564,0.142284569138,0.148745519713,0.128301886792,0.145083932854,0.0,0.137579617834,0.128421453265
Tuesday,0.25,0.182692307692,0.15611814346,0.14606741573,0.156439816537,0.18480642805,0.146477445514,0.171407731583,0.173791821561,0.15169031354,0.165187376726,0.138863000932,0.0,0.0512820512821,0.150837988827,0.121951219512,0.171717171717,0.105263157895,0.0,0.171428571429,0.144736842105,0.103571428571,0.126903553299,0.146608315098,0.153087579244,0.179775280899,0.214285714286,0.203412073491,0.15711517165,0.149922720247,0.169691853103,0.205128205128,0.162324649299,0.168458781362,0.162264150943,0.161870503597,0.5,0.152866242038,0.149576580291
Friday,0.15,0.163461538462,0.153305203938,0.162921348315,0.163753563902,0.159240321402,0.158979557358,0.168490153173,0.175650557621,0.179541075495,0.171597633136,0.158744951848,0.0,0.179487179487,0.189944134078,0.182926829268,0.161616161616,0.163742690058,0.142857142857,0.2,0.131578947368,0.153571428571,0.203045685279,0.151531728665,0.179619629021,0.157303370787,0.238095238095,0.146981627297,0.164728682171,0.171561051005,0.163360067539,0.205128205128,0.156312625251,0.155913978495,0.207547169811,0.162589928058,0.0,0.131210191083,0.164673792382
Wednesday,0.1,0.153846153846,0.172995780591,0.140449438202,0.160406594769,0.158509861213,0.151039026863,0.167031363968,0.169144981413,0.162550359082,0.159763313609,0.142590866729,0.0,0.230769230769,0.100558659218,0.146341463415,0.176767676768,0.134502923977,0.0714285714286,0.121428571429,0.171052631579,0.189285714286,0.172588832487,0.155361050328,0.152852782343,0.154494382022,0.166666666667,0.190288713911,0.174280177187,0.179289026275,0.169691853103,0.153846153846,0.134268537074,0.13082437276,0.139622641509,0.157553956835,0.5,0.182165605096,0.147990738685
Thursday,0.15,0.192307692308,0.144866385373,0.147471910112,0.163877525722,0.137326515705,0.161006926846,0.181619256018,0.168215613383,0.161324224908,0.174063116371,0.171171171171,0.0,0.282051282051,0.195530726257,0.158536585366,0.146464646465,0.181286549708,0.285714285714,0.207142857143,0.197368421053,0.135714285714,0.137055837563,0.150437636761,0.162714252172,0.154494382022,0.142857142857,0.175853018373,0.178709856035,0.176197836167,0.177712114816,0.128205128205,0.144288577154,0.193548387097,0.207547169811,0.158752997602,0.0,0.141401273885,0.162390180469
Sunday,0.15,0.115384615385,0.102672292546,0.11797752809,0.0924755175406,0.081811541271,0.107112687954,0.0722100656455,0.0758983890954,0.0944123314066,0.0803747534517,0.113699906803,0.0,0.0512820512821,0.0893854748603,0.109756097561,0.0909090909091,0.134502923977,0.0,0.107142857143,0.105263157895,0.135714285714,0.121827411168,0.125273522976,0.10002347969,0.109550561798,0.0952380952381,0.0774278215223,0.0772425249169,0.0880989180835,0.067539046011,0.0512820512821,0.120240480962,0.100358422939,0.0716981132075,0.089928057554,0.0,0.101910828025,0.111643249072
Saturday,0.1,0.0961538461538,0.112517580872,0.141853932584,0.117143919673,0.122717311907,0.139550599763,0.0991976659373,0.0885997521685,0.116657908565,0.103057199211,0.139484311898,1.0,0.102564102564,0.100558659218,0.146341463415,0.121212121212,0.134502923977,0.214285714286,0.0714285714286,0.157894736842,0.142857142857,0.137055837563,0.12363238512,0.128903498474,0.0842696629213,0.047619047619,0.0931758530184,0.116694352159,0.112828438949,0.0911777121148,0.153846153846,0.140280561122,0.102150537634,0.0830188679245,0.124220623501,0.0,0.152866242038,0.135304005836
